UMAP_1,UMAP_2,leiden,cell_type
5.4845734,3.7024014,2,Plasma cells
8.380485,4.8625464,0,Plasma cells
4.9384,7.4366555,1,Naive B cells
3.99374,4.4157114,3,Plasma cells
9.285988,5.361777,0,Plasma cells
9.887742,7.05654,0,Plasma cells
9.05129,7.66938,0,Plasma cells
7.980429,8.028933,6,Naive B cells
10.613117,5.4467754,0,Plasma cells
7.7853374,3.5710723,4,Plasma cells
