UMAP_1,UMAP_2,leiden,patient_name
11.827017,2.8774197,13,p1_pre
11.225046,4.53267,13,p1_pre
2.1711504,-1.9885284,5,p1_pre
4.625916,6.4119477,4,p1_pre
6.202388,6.0090413,4,p1_pre
7.1067686,7.1777477,23,p1_pre
11.078327,4.6430364,13,p1_pre
11.563794,2.7089999,13,p1_pre
12.548802,4.720288,13,p1_pre
2.1924765,9.353333,9,p1_pre
-5.081801,9.715163,7,p1_pre
7.1484036,7.573589,23,p1_pre
7.292432,5.1208243,15,p1_pre
7.4014654,5.2188225,15,p1_pre
7.6353555,4.6632123,15,p1_pre
6.9886785,5.1606627,15,p1_pre
5.408707,8.053524,11,p1_pre
7.8268547,12.9660845,17,p1_pre
12.878427,4.5025883,13,p1_pre
7.0038757,5.397436,15,p1_pre
-1.5443918,8.464612,10,p1_pre
-3.1366355,6.158487,8,p1_pre
3.6980793,8.150121,11,p1_pre
6.2822447,14.587206,17,p1_pre
-4.933395,1.7502265,11,p1_pre
7.760466,13.401721,17,p1_pre
6.9978485,4.4234576,15,p1_pre
6.30528,14.356988,17,p1_pre
4.2586045,5.884143,4,p1_pre
2.63987,-4.3269086,5,p1_pre
12.293415,2.787367,13,p1_pre
6.336913,14.631593,17,p1_pre
7.646133,5.080791,15,p1_pre
5.966766,5.448237,4,p1_pre
6.2532043,14.096679,17,p1_pre
6.0679483,6.006137,4,p1_pre
6.3829727,14.629018,17,p1_pre
7.8563633,13.129893,17,p1_pre
6.345231,5.855409,4,p1_pre
1.1233355,9.317463,9,p1_pre
12.863096,4.842197,13,p1_pre
6.1169558,14.558029,17,p1_pre
-4.746222,5.919081,7,p1_pre
5.994643,5.5958495,4,p1_pre
-5.282676,9.618183,7,p1_pre
6.4081507,14.762533,17,p1_pre
7.1224933,7.5218997,23,p1_pre
5.7763214,5.2566767,4,p1_pre
6.7539253,14.326435,17,p1_pre
6.1295485,6.0112305,4,p1_pre
2.5842783,10.200155,9,p1_pre
6.5688906,14.660588,17,p1_pre
2.4428842,-2.437814,5,p1_pre
4.3365846,6.3746333,4,p1_pre
6.939345,7.5863023,23,p1_pre
7.469159,4.90814,15,p1_pre
1.1684388,8.715542,9,p1_pre
4.527537,6.34011,4,p1_pre
10.7874565,4.8902597,13,p1_pre
6.243754,14.171346,17,p1_pre
5.955401,14.276279,17,p1_pre
7.047268,14.563177,17,p1_pre
6.591743,14.169789,17,p1_pre
1.9117671,10.869447,9,p1_pre
6.6737647,14.785076,17,p1_pre
-5.279182,9.509745,7,p1_pre
12.14021,4.7748513,13,p1_pre
5.0752335,7.925844,11,p1_pre
11.315391,4.4884467,13,p1_pre
6.903348,7.309102,23,p1_pre
6.0999956,4.8812995,4,p1_pre
6.1235433,4.2693863,4,p1_pre
1.4817274,9.886257,9,p1_pre
11.893583,2.5857525,13,p1_pre
-1.3016639,5.184936,8,p1_pre
6.248604,5.794694,4,p1_pre
6.7381935,14.941548,17,p1_pre
12.754116,4.850184,13,p1_pre
4.6358933,6.164484,4,p1_pre
12.826149,4.7341356,13,p1_pre
3.441082,6.055919,4,p1_pre
11.273443,2.5079262,13,p1_pre
12.478029,4.8231225,13,p1_pre
4.600567,6.251843,4,p1_pre
12.240835,4.561956,13,p1_pre
11.43018,2.4787848,13,p1_pre
6.3464127,14.12897,17,p1_pre
6.191707,14.619168,17,p1_pre
5.976486,14.270541,17,p1_pre
7.1257825,7.396301,23,p1_pre
7.0872626,7.3775,23,p1_pre
5.4866257,5.6975393,4,p1_pre
5.95456,4.849077,4,p1_pre
1.2837878,9.509915,9,p1_pre
5.556915,8.023655,11,p1_pre
-3.0581322,6.9188056,2,p1_pre
12.157267,4.6595125,13,p1_pre
7.2145114,7.514448,23,p1_pre
7.5900216,5.1539283,15,p1_pre
11.289762,2.5204165,13,p1_pre
5.6893773,8.057287,11,p1_pre
-1.0552574,5.2793336,8,p1_pre
6.4721527,5.762667,4,p1_pre
2.2167284,7.944186,9,p1_pre
5.1248846,8.015328,11,p1_pre
6.3913593,14.440086,17,p1_pre
11.06634,4.48039,13,p1_pre
6.975317,7.3021197,23,p1_pre
4.540429,6.5595293,4,p1_pre
13.919423,3.135986,13,p1_pre
6.5149693,14.460369,17,p1_pre
-1.3025327,-3.133354,14,p1_pre
3.426125,-1.1856,5,p1_pre
-3.3732474,-1.8297672,14,p1_pre
7.670498,5.295901,15,p1_pre
5.405401,7.8585167,11,p1_pre
13.174863,3.1668496,13,p1_pre
11.174966,4.4812965,13,p1_pre
5.007624,5.7232175,4,p1_pre
12.778929,4.655326,13,p1_pre
-3.5527427,8.9044485,7,p1_pre
11.560418,2.566553,13,p1_pre
11.597091,2.5285044,13,p1_pre
11.94917,2.411166,13,p1_pre
2.4233468,-4.367064,3,p1_pre
11.290646,3.0056415,13,p1_pre
